Fecha de Proceso,Operador,Estatus,P. Run,TIN,Folio TIN,Folio Logistica,Folio calidad,Cliente,Codigo cliente,Producto,Configuracion (Fito) prod,No de configuracion,Tipo de servicio,Dosis de proceso solicitada (kGy),Numero de tarima de TIN,Carrier,Etiqueta sistema,Etiqueta interna,Tarimas por TIN,Tratamiento,Dosis proceso,N° Lados,N° pases,kGy por pase,Factor K,Corriente (A),Velocidad UBC,Inicio carga conveyor,Fin descarga conveyor,Tiempo proceso,Desviaciones,Registro
21-ago-27,Operador_02,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,1,1,SYS_000001,TAG_000001,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_05
21-ago-27,Operador_01,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,2,2,SYS_000002,TAG_000002,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_05
21-ago-27,Operador_04,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,3,3,SYS_000003,TAG_000003,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_03
21-ago-27,Operador_03,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,4,4,SYS_000004,TAG_000004,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_02
21-ago-27,Operador_02,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,5,5,SYS_000005,TAG_000005,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_02
21-ago-27,Operador_05,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,6,6,SYS_000006,TAG_000006,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_02
21-ago-27,Operador_03,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,7,7,SYS_000007,TAG_000007,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_04
21-ago-27,Operador_04,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,8,8,SYS_000008,TAG_000008,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_02
21-ago-27,Operador_05,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,9,9,SYS_000009,TAG_000009,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_01
21-ago-27,Operador_04,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,10,10,SYS_000010,TAG_000010,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_01
21-ago-27,Operador_05,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,11,11,SYS_000011,TAG_000011,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_01
21-ago-27,Operador_05,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,12,12,SYS_000012,TAG_000012,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_04
21-ago-27,Operador_01,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,13,1,SYS_000013,TAG_000013,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_04
21-ago-27,Operador_02,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,14,2,SYS_000014,TAG_000014,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_05
21-ago-27,Operador_05,Completado,10001,TIN_000001,20001,40001,50001,Cliente_005,CLI005,Producto_004,Configuracion_002,30002,Desbacterizacion (Alimento mascotas),2.0,15,3,SYS_000015,TAG_000015,15,MODE_A - Config demo,1.0,2,2,1.0,2.5,2.4,6.0,3:31:00 p.m.,4:54:00 p.m.,01:23:00,Desviacion_demo_10001,Operador_05
17-ago-27,Operador_05,Completado,10002,TIN_000002,20002,40002,50002,Cliente_001,CLI001,Producto_010,Configuracion_003,30003,Fitosanitario 400 Gy,0.65,1,1,SYS_000016,TAG_000016,7,MODE_B - Config demo,0.65,2,1,0.65,0.025,8.0,0.308,9:55:00 a.m.,10:46:00 a.m.,00:51:00,,Operador_05
17-ago-27,Operador_05,Completado,10002,TIN_000002,20002,40002,50002,Cliente_001,CLI001,Producto_010,Configuracion_003,30003,Fitosanitario 400 Gy,0.65,2,2,SYS_000017,TAG_000017,7,MODE_B - Config demo,0.65,2,1,0.65,0.025,8.0,0.308,9:55:00 a.m.,10:46:00 a.m.,00:51:00,,Operador_04
17-ago-27,Operador_04,Completado,10002,TIN_000002,20002,40002,50002,Cliente_001,CLI001,Producto_010,Configuracion_003,30003,Fitosanitario 400 Gy,0.65,3,3,SYS_000018,TAG_000018,7,MODE_B - Config demo,0.65,2,1,0.65,0.025,8.0,0.308,9:55:00 a.m.,10:46:00 a.m.,00:51:00,,Operador_01
