Fecha,Hora de Paro,Fecha Reinicio,Hora Reinicio,Interruption ID,Interlock,Motivo del paro,Registro,Observaciones
02/08/2027,11:14:31 a.m.,02/08/2027,11:20:02 a.m.,70001,Process -OFF -Button,Inspección programada,Operador_01,
30/08/2027,5:52:26 a.m.,30/08/2027,6:00:11 a.m.,70002,INTERLOCK_A,,Operador_02,Observacion_demo_002
08/08/2027,3:14:59 a.m.,08/08/2027,3:18:42 a.m.,70003,INTERLOCK_C,,Operador_04,
28/08/2027,2:31:31 a.m.,28/08/2027,2:43:00 a.m.,70004,INTERLOCK_E,,Operador_03,
03/08/2027,9:50:34 a.m.,03/08/2027,9:52:32 a.m.,70005,INTERLOCK_A,,Operador_03,
04/08/2027,7:35:45 p.m.,04/08/2027,7:45:40 p.m.,70006,INTERLOCK_B,,Operador_03,
06/08/2027,1:57:48 a.m.,06/08/2027,2:01:03 a.m.,70007,Process -OFF -Button,Ajuste operativo,Operador_05,
17/08/2027,5:38:35 p.m.,17/08/2027,5:47:19 p.m.,70008,INTERLOCK_A,,Operador_02,
04/08/2027,6:14:25 p.m.,04/08/2027,6:15:10 p.m.,70009,Process -OFF -Button,Reinicio manual,Operador_03,
04/08/2027,5:35:23 a.m.,04/08/2027,5:45:52 a.m.,70010,Process -OFF -Button,Inspección programada,Operador_02,
20/08/2027,4:18:28 a.m.,20/08/2027,4:26:12 a.m.,70011,INTERLOCK_A,,Operador_03,
28/08/2027,5:02:45 p.m.,28/08/2027,5:04:40 p.m.,70012,INTERLOCK_D,,Operador_05,
17/08/2027,12:44:25 p.m.,17/08/2027,12:52:55 p.m.,70013,Process -OFF -Button,Inspección programada,Operador_01,
30/08/2027,1:47:00 a.m.,30/08/2027,1:57:24 a.m.,70014,INTERLOCK_C,,Operador_02,
16/08/2027,10:50:14 a.m.,16/08/2027,10:56:36 a.m.,70015,INTERLOCK_B,,Operador_02,
05/08/2027,8:37:59 a.m.,05/08/2027,8:39:48 a.m.,70016,INTERLOCK_E,,Operador_05,
30/08/2027,3:31:16 a.m.,30/08/2027,3:33:31 a.m.,70017,INTERLOCK_B,,Operador_01,
08/08/2027,8:59:01 p.m.,08/08/2027,8:59:46 p.m.,70018,Process -OFF -Button,Ajuste operativo,Operador_05,
29/08/2027,2:35:42 p.m.,29/08/2027,2:36:55 p.m.,70019,INTERLOCK_A,,Operador_03,
21/08/2027,4:29:37 a.m.,21/08/2027,4:39:28 a.m.,70020,INTERLOCK_C,,Operador_05,
12/08/2027,11:15:00 a.m.,12/08/2027,11:24:51 a.m.,70021,INTERLOCK_D,,Operador_01,
18/08/2027,1:12:09 a.m.,18/08/2027,1:23:02 a.m.,70022,INTERLOCK_C,,Operador_02,
02/08/2027,6:01:12 p.m.,02/08/2027,6:08:47 p.m.,70023,Process -OFF -Button,Reinicio manual,Operador_03,
14/08/2027,6:53:34 a.m.,14/08/2027,7:01:10 a.m.,70024,Process -OFF -Button,Material desalineado,Operador_05,
28/08/2027,1:29:22 a.m.,28/08/2027,1:34:15 a.m.,70025,Process -OFF -Button,Material desalineado,Operador_04,
20/08/2027,11:55:18 a.m.,20/08/2027,12:00:08 p.m.,70026,INTERLOCK_D,,Operador_03,
23/08/2027,5:16:10 p.m.,23/08/2027,5:21:46 p.m.,70027,INTERLOCK_B,,Operador_01,
15/08/2027,2:44:02 p.m.,15/08/2027,2:55:08 p.m.,70028,INTERLOCK_A,,Operador_01,
22/08/2027,11:40:06 p.m.,22/08/2027,11:50:02 p.m.,70029,Process -OFF -Button,Verificación de seguridad,Operador_03,
24/08/2027,5:59:27 p.m.,24/08/2027,6:02:59 p.m.,70030,INTERLOCK_B,,Operador_05,
06/08/2027,7:15:34 a.m.,06/08/2027,7:20:02 a.m.,70031,INTERLOCK_A,,Operador_05,
13/08/2027,9:40:31 a.m.,13/08/2027,9:50:59 a.m.,70032,INTERLOCK_C,,Operador_03,
23/08/2027,9:46:12 p.m.,23/08/2027,9:50:20 p.m.,70033,INTERLOCK_B,,Operador_03,
22/08/2027,9:47:44 a.m.,22/08/2027,9:53:22 a.m.,70034,Process -OFF -Button,Material desalineado,Operador_02,Observacion_demo_034
21/08/2027,3:09:03 a.m.,21/08/2027,3:16:50 a.m.,70035,INTERLOCK_B,,Operador_05,Observacion_demo_035
