Fecha,Carga (h),Inicio de irradiación (h),Exit treatment zone (h),Fin de proceso (h),Fecha fin,Dosis de proceso (kGy),# de Fraccionamiento,Tipo de tratamiento,No. de lados,1. Retardo de brotes,2. Desinfeccion,3. Fitosanitario (150 Gy),3. Fitosanitario (400 Gy),4. Vegetales,5. Chiles secos,6. Alimentos mascotas,7. Otros,8. Cosmeticos,9. Esterilizacion,Desecho fitosanitario,Pallets tratados mal/Reprocesados,Pruebas,Tiempo de paro programado,Registro
01/08/2027,2:00:00 a.m.,2:14:00 a.m.,3:46:30 a.m.,3:52:30 a.m.,01/08/2027,4.0,1,MODE_B,2,0,0,0,0,0,11,0,0,0,0,0,0,0,00:00:00,Operador_04
02/08/2027,3:17:00 a.m.,3:25:00 a.m.,4:45:06 a.m.,4:58:06 a.m.,02/08/2027,0.3,2,MODE_B,2,0,0,12,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
03/08/2027,4:34:00 a.m.,4:49:00 a.m.,5:35:02 a.m.,5:46:02 a.m.,03/08/2027,0.22,1,MODE_A,1,0,0,5,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_01
04/08/2027,2:51:00 a.m.,3:01:00 a.m.,4:41:00 a.m.,4:51:00 a.m.,04/08/2027,3.0,2,MODE_B,2,0,0,0,0,0,0,14,0,0,0,0,0,0,00:00:00,Operador_01
05/08/2027,3:08:00 a.m.,3:18:00 a.m.,4:20:30 a.m.,4:30:30 a.m.,05/08/2027,1.5,3,MODE_A,2,0,0,0,0,0,8,0,0,0,0,0,0,0,00:00:00,Operador_04
06/08/2027,4:25:00 a.m.,4:32:00 a.m.,5:40:57 a.m.,5:51:57 a.m.,06/08/2027,0.35,1,MODE_B,2,0,0,9,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
07/08/2027,2:42:00 a.m.,2:56:00 a.m.,4:24:00 a.m.,4:31:00 a.m.,07/08/2027,1.5,1,MODE_B,1,0,0,0,0,0,0,13,0,0,0,0,0,0,00:05:00,Operador_04
08/08/2027,3:59:00 a.m.,4:11:00 a.m.,5:30:24 a.m.,5:40:24 a.m.,08/08/2027,1.2,1,MODE_A,2,0,0,0,0,12,0,0,0,0,0,0,0,0,00:00:00,Operador_03
09/08/2027,4:16:00 a.m.,4:31:00 a.m.,5:54:30 a.m.,6:05:30 a.m.,09/08/2027,2.0,1,MODE_B,1,0,0,0,0,11,0,0,0,0,0,0,0,0,00:00:00,Operador_04
10/08/2027,2:33:00 a.m.,2:42:00 a.m.,4:03:30 a.m.,4:17:30 a.m.,10/08/2027,4.0,1,MODE_B,2,0,7,0,0,0,0,0,0,0,0,0,0,0,00:05:00,Operador_05
11/08/2027,3:50:00 a.m.,4:02:00 a.m.,5:23:06 a.m.,5:36:06 a.m.,11/08/2027,0.3,1,MODE_B,2,0,0,14,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
12/08/2027,4:07:00 a.m.,4:22:00 a.m.,5:38:32 a.m.,5:50:32 a.m.,12/08/2027,0.22,1,MODE_B,2,0,0,12,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
13/08/2027,2:24:00 a.m.,2:34:00 a.m.,3:33:27 a.m.,3:41:27 a.m.,13/08/2027,0.28,2,MODE_B,2,0,0,9,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
14/08/2027,3:41:00 a.m.,3:52:00 a.m.,4:40:57 a.m.,4:50:57 a.m.,14/08/2027,0.28,1,MODE_A,1,0,0,4,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_02
15/08/2027,4:58:00 a.m.,5:05:00 a.m.,6:24:24 a.m.,6:38:24 a.m.,15/08/2027,1.2,1,MODE_B,2,0,0,0,0,0,12,0,0,0,0,0,0,0,00:00:00,Operador_04
16/08/2027,2:15:00 a.m.,2:21:00 a.m.,3:24:03 a.m.,3:34:03 a.m.,16/08/2027,0.65,1,MODE_A,2,0,0,0,7,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
17/08/2027,3:32:00 a.m.,3:42:00 a.m.,4:37:21 a.m.,4:43:21 a.m.,17/08/2027,0.55,2,MODE_A,2,0,0,0,5,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
18/08/2027,4:49:00 a.m.,4:58:00 a.m.,5:53:44 a.m.,6:07:44 a.m.,18/08/2027,0.32,1,MODE_B,2,0,0,5,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
19/08/2027,2:06:00 a.m.,2:21:00 a.m.,3:15:30 a.m.,3:21:30 a.m.,19/08/2027,2.0,3,MODE_B,2,0,5,0,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
20/08/2027,3:23:00 a.m.,3:40:00 a.m.,5:01:15 a.m.,5:11:15 a.m.,20/08/2027,0.75,1,MODE_B,2,0,0,0,14,0,0,0,0,0,0,0,0,0,00:05:00,Operador_03
21/08/2027,4:40:00 a.m.,4:52:00 a.m.,5:39:18 a.m.,5:45:18 a.m.,21/08/2027,0.9,3,MODE_B,2,0,0,0,0,0,0,4,0,0,0,0,0,0,00:00:00,Operador_02
22/08/2027,2:57:00 a.m.,3:10:00 a.m.,4:35:00 a.m.,4:49:00 a.m.,22/08/2027,1.5,3,MODE_B,2,0,0,0,0,0,11,0,0,0,0,0,1,0,00:00:00,Operador_02
23/08/2027,3:14:00 a.m.,3:23:00 a.m.,4:15:44 a.m.,4:29:44 a.m.,23/08/2027,0.32,2,MODE_A,2,0,0,7,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_05
24/08/2027,4:31:00 a.m.,4:40:00 a.m.,5:44:00 a.m.,5:58:00 a.m.,24/08/2027,2.0,1,MODE_B,2,0,0,0,0,0,0,0,6,0,0,0,0,0,00:00:00,Operador_05
25/08/2027,2:48:00 a.m.,2:57:00 a.m.,3:55:00 a.m.,4:07:00 a.m.,25/08/2027,2.0,3,MODE_B,2,0,0,0,0,0,0,6,0,0,0,0,0,0,00:00:00,Operador_05
26/08/2027,3:05:00 a.m.,3:22:00 a.m.,4:11:48 a.m.,4:17:48 a.m.,26/08/2027,0.9,1,MODE_A,2,0,0,0,0,0,5,0,0,0,0,0,0,0,00:00:00,Operador_01
27/08/2027,4:22:00 a.m.,4:30:00 a.m.,5:27:27 a.m.,5:35:27 a.m.,27/08/2027,0.35,2,MODE_B,2,0,0,8,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_03
28/08/2027,2:39:00 a.m.,2:48:00 a.m.,3:45:15 a.m.,3:51:15 a.m.,28/08/2027,0.25,3,MODE_B,2,0,0,9,0,0,0,0,0,0,0,0,0,0,00:00:00,Operador_04
29/08/2027,3:56:00 a.m.,4:11:00 a.m.,5:24:24 a.m.,5:36:24 a.m.,29/08/2027,1.2,2,MODE_A,2,0,0,0,0,0,12,0,0,0,0,0,0,0,00:00:00,Operador_03
30/08/2027,4:13:00 a.m.,4:20:00 a.m.,5:35:30 a.m.,5:45:30 a.m.,30/08/2027,4.0,1,MODE_B,2,0,0,0,0,0,0,0,5,0,0,0,0,0,00:00:00,Operador_04
31/08/2027,2:30:00 a.m.,2:43:00 a.m.,4:03:30 a.m.,4:09:30 a.m.,31/08/2027,2.0,1,MODE_B,2,0,0,0,0,0,0,0,9,0,0,0,0,0,00:00:00,Operador_01
01/08/2027,8:47:00 a.m.,8:58:00 a.m.,10:21:54 a.m.,10:32:54 a.m.,01/08/2027,0.7,1,MODE_A,1,0,0,0,14,0,0,0,0,0,0,0,1,0,00:00:00,Operador_04
02/08/2027,9:04:00 a.m.,9:16:00 a.m.,10:19:24 a.m.,10:30:24 a.m.,02/08/2027,1.2,2,MODE_B,2,0,0,0,0,0,0,6,0,0,0,0,0,0,00:00:00,Operador_02
